GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US12410,12410,ZCTA5 12410,58000,45721,71875,55257,88036,33863,32054,28672
8600000US12411,12411,ZCTA5 12411,84474,12772,83026,20524,83026,20524,102917,19117
8600000US12412,12412,ZCTA5 12412,65676,10290,65328,7853,65656,5024,68317,52243
8600000US12413,12413,ZCTA5 12413,38333,15828,68833,24719,78984,10153,24145,2483
8600000US12414,12414,ZCTA5 12414,41264,5359,55362,7845,76434,12655,28388,5011
8600000US12416,12416,ZCTA5 12416,25769,8461,-,**,-,**,-,**
8600000US12417,12417,ZCTA5 12417,79063,68012,78281,66087,85903,50741,-,**
8600000US12418,12418,ZCTA5 12418,72727,12771,64653,27752,84167,24911,65750,52476
8600000US12419,12419,ZCTA5 12419,51563,24643,63125,40731,74766,38856,50179,35516
8600000US12420,12420,ZCTA5 12420,100938,44750,-,**,118750,78158,93750,24552
8600000US12421,12421,ZCTA5 12421,53942,24713,69063,21864,75714,28846,34167,5959
8600000US12422,12422,ZCTA5 12422,81000,60791,99500,75439,125250,91827,-,**
8600000US12423,12423,ZCTA5 12423,43789,8262,51875,16248,77917,9661,35250,9431
8600000US12424,12424,ZCTA5 12424,68750,39039,-,**,103438,86917,73269,45640
8600000US12427,12427,ZCTA5 12427,92262,77911,-,**,-,**,-,**
8600000US12428,12428,ZCTA5 12428,46037,4893,49874,8661,61607,14915,30464,14297
8600000US12429,12429,ZCTA5 12429,88750,54233,111667,88265,111667,88265,-,**
8600000US12430,12430,ZCTA5 12430,52483,19362,59583,25125,71750,14075,39038,11391
8600000US12431,12431,ZCTA5 12431,38605,4386,38750,5459,39598,19830,-,**
8600000US12432,12432,ZCTA5 12432,52969,45258,59732,17910,68156,11554,25417,6269
8600000US12433,12433,ZCTA5 12433,138134,32902,139011,5882,139291,34092,-,**
8600000US12434,12434,ZCTA5 12434,31905,9769,60893,55211,-,**,15804,7883
8600000US12435,12435,ZCTA5 12435,58958,43210,60208,43015,74792,31330,-,**
8600000US12436,12436,ZCTA5 12436,-,**,-,**,-,**,-,**
8600000US12438,12438,ZCTA5 12438,-,**,-,**,-,**,-,**
8600000US12439,12439,ZCTA5 12439,41705,11195,34911,27086,33929,13145,-,**
8600000US12440,12440,ZCTA5 12440,59250,23248,76071,29534,93265,18096,50911,11341
8600000US12441,12441,ZCTA5 12441,-,**,-,**,-,**,-,**
8600000US12442,12442,ZCTA5 12442,35273,14686,57813,41891,-,**,26071,8053
8600000US12443,12443,ZCTA5 12443,85781,22116,97500,9309,99655,5556,58608,19315
8600000US12444,12444,ZCTA5 12444,53750,23223,75156,33620,87813,22918,28558,16015
8600000US12446,12446,ZCTA5 12446,57328,6012,64600,14540,86579,28312,50292,25738
8600000US12448,12448,ZCTA5 12448,109531,68431,-,**,-,**,63214,51940
8600000US12449,12449,ZCTA5 12449,44500,11339,66350,13176,73347,12419,31108,12536
8600000US12450,12450,ZCTA5 12450,-,**,-,**,-,**,-,**
8600000US12451,12451,ZCTA5 12451,64963,18974,66250,35556,64792,27992,63000,16111
8600000US12452,12452,ZCTA5 12452,29583,27586,42083,17211,40750,17800,13646,3745
8600000US12453,12453,ZCTA5 12453,35755,5856,33851,324,-,**,-,**
8600000US12454,12454,ZCTA5 12454,70313,42810,85625,27951,90750,14611,31667,19147
8600000US12455,12455,ZCTA5 12455,41736,7935,61532,12517,70147,19240,17159,9286
8600000US12456,12456,ZCTA5 12456,46198,10467,45625,8804,46250,9597,-,**
8600000US12457,12457,ZCTA5 12457,34583,29199,73125,22553,71875,28762,21629,5484
8600000US12458,12458,ZCTA5 12458,52798,8975,68370,14420,73438,8202,37083,10541
8600000US12459,12459,ZCTA5 12459,39213,15489,-,**,-,**,36125,35865
8600000US12460,12460,ZCTA5 12460,25809,3460,33750,29814,-,**,23661,11477
8600000US12461,12461,ZCTA5 12461,64120,15560,100885,27179,108750,18694,21875,16032
8600000US12463,12463,ZCTA5 12463,72125,19075,82969,34672,90278,30673,56354,25618
8600000US12464,12464,ZCTA5 12464,40256,14631,105761,91816,200040,154011,30104,14166
8600000US12465,12465,ZCTA5 12465,57404,24275,55625,36715,56250,55321,62292,25658
8600000US12466,12466,ZCTA5 12466,68893,5353,72986,13942,92903,30589,41346,27140
8600000US12468,12468,ZCTA5 12468,48750,12016,52266,6234,57679,5244,27188,18470
8600000US12469,12469,ZCTA5 12469,49500,7640,53009,5817,53947,13752,37679,7027
8600000US12470,12470,ZCTA5 12470,47375,29920,62554,47663,63696,14266,47250,39931
8600000US12471,12471,ZCTA5 12471,-,**,-,**,-,**,-,**
8600000US12472,12472,ZCTA5 12472,54318,13760,68750,20682,73281,39337,45917,22144
8600000US12473,12473,ZCTA5 12473,75125,34656,76969,6455,77297,23052,29875,14000
8600000US12474,12474,ZCTA5 12474,45486,6078,51974,9428,53355,22239,26912,13687
8600000US12475,12475,ZCTA5 12475,-,**,81719,38269,-,**,-,**
8600000US12477,12477,ZCTA5 12477,58478,3560,75574,6706,94906,9544,29613,2021
8600000US12480,12480,ZCTA5 12480,68472,50609,74676,39516,74167,33150,-,**
8600000US12481,12481,ZCTA5 12481,56053,14002,56414,21035,69598,14387,30917,17766
8600000US12482,12482,ZCTA5 12482,41220,3857,37279,20168,54750,29082,41310,1015
8600000US12483,12483,ZCTA5 12483,-,**,-,**,-,**,27833,10280
8600000US12484,12484,ZCTA5 12484,60517,9780,64712,32348,89904,35269,29342,28424
8600000US12485,12485,ZCTA5 12485,54918,21932,69824,15602,76875,15089,42909,20639
8600000US12486,12486,ZCTA5 12486,93011,25496,118036,45396,121563,16244,34125,25486
8600000US12487,12487,ZCTA5 12487,64699,17945,78341,10917,82458,63113,51042,9074
8600000US12489,12489,ZCTA5 12489,78649,39867,79324,24114,94423,44972,"2,500-",***
8600000US12490,12490,ZCTA5 12490,-,**,-,**,-,**,-,**
8600000US12491,12491,ZCTA5 12491,62868,21735,93906,12591,103047,15460,15227,5169
8600000US12492,12492,ZCTA5 12492,50455,13205,55250,18243,55250,18243,34688,15316
8600000US12493,12493,ZCTA5 12493,88173,34326,-,**,-,**,77361,61108
8600000US12494,12494,ZCTA5 12494,65913,18619,115982,32321,115848,51551,-,**
8600000US12495,12495,ZCTA5 12495,130750,101214,130125,108536,-,**,-,**
8600000US12496,12496,ZCTA5 12496,57045,17785,75595,7598,75357,7433,28333,9451
8600000US12498,12498,ZCTA5 12498,72722,8533,94811,7909,98875,16969,40250,9720
8600000US12501,12501,ZCTA5 12501,64250,17032,85847,10616,88171,9322,44483,19123
8600000US12502,12502,ZCTA5 12502,76034,4955,82292,12368,86510,7792,55795,12778
8600000US12503,12503,ZCTA5 12503,65104,13025,76250,16878,105625,53754,36806,16830
8600000US12504,12504,ZCTA5 12504,145833,96622,-,**,-,**,146250,67072
8600000US12507,12507,ZCTA5 12507,73250,31233,118750,65328,119821,48635,56500,42667
8600000US12508,12508,ZCTA5 12508,73396,8544,88641,8599,109394,10910,41472,15456
8600000US12512,12512,ZCTA5 12512,-,**,-,**,-,**,-,**
8600000US12513,12513,ZCTA5 12513,65660,25567,66701,14685,73958,31024,22143,17511
8600000US12514,12514,ZCTA5 12514,104621,9667,108086,13044,108633,14927,60972,43465
8600000US12515,12515,ZCTA5 12515,55976,49774,120288,80866,123000,46605,25781,24342
8600000US12516,12516,ZCTA5 12516,71435,21806,80139,13534,86348,5542,31667,6892
8600000US12517,12517,ZCTA5 12517,44833,26489,-,**,95227,73461,-,**
8600000US12518,12518,ZCTA5 12518,76506,5872,97232,23040,122361,17819,44868,9170
8600000US12520,12520,ZCTA5 12520,102386,17703,114375,14587,124444,10518,62232,10445
8600000US12521,12521,ZCTA5 12521,90046,18124,90486,12101,97857,24481,-,**
8600000US12522,12522,ZCTA5 12522,51799,3296,57011,12738,71946,13612,36801,11494
8600000US12523,12523,ZCTA5 12523,75263,11342,79327,21262,92750,19801,53508,6637
8600000US12524,12524,ZCTA5 12524,79197,4337,98359,10542,104927,6013,54444,5010
8600000US12525,12525,ZCTA5 12525,75167,13622,84676,41113,100982,37468,40917,31504
8600000US12526,12526,ZCTA5 12526,74744,5271,83952,2081,99375,9818,31833,10166
8600000US12527,12527,ZCTA5 12527,-,**,-,**,-,**,-,**
8600000US12528,12528,ZCTA5 12528,71857,4261,84988,10860,98500,11849,40373,6057
8600000US12529,12529,ZCTA5 12529,59375,17469,69783,23643,69348,17835,48750,19922
8600000US12530,12530,ZCTA5 12530,-,**,-,**,-,**,-,**
8600000US12531,12531,ZCTA5 12531,81860,11288,108875,17998,115179,12338,27778,23021
8600000US12533,12533,ZCTA5 12533,101762,7052,114253,8870,124148,10266,49872,11174
8600000US12534,12534,ZCTA5 12534,46508,3496,63029,7566,76283,4760,32829,4902
8600000US12538,12538,ZCTA5 12538,73621,6528,95612,6535,103198,7425,42355,4517
8600000US12540,12540,ZCTA5 12540,109444,10405,116393,7772,119792,9897,70588,23612
8600000US12542,12542,ZCTA5 12542,75000,11921,89176,7547,101316,8511,35161,5300
8600000US12543,12543,ZCTA5 12543,61563,12030,85455,28352,102692,11154,31396,6182
8600000US12545,12545,ZCTA5 12545,81219,8149,103750,12439,112576,16934,43214,10704
8600000US12546,12546,ZCTA5 12546,54931,12910,68783,7646,77717,12665,33548,7553
8600000US12547,12547,ZCTA5 12547,78963,12096,91375,24799,111056,9997,-,**
8600000US12548,12548,ZCTA5 12548,55703,21195,94844,31723,95625,33892,23750,14163
8600000US12549,12549,ZCTA5 12549,90792,10430,105389,7140,115507,12245,29965,7218
8600000US12550,12550,ZCTA5 12550,58534,2637,67705,4711,92746,5438,34028,4147
8600000US12553,12553,ZCTA5 12553,73836,5809,92647,5866,111387,10282,38969,4000
8600000US12561,12561,ZCTA5 12561,68340,7344,96090,7375,107604,9812,32163,7214
8600000US12563,12563,ZCTA5 12563,88438,10187,98724,12470,112162,13555,68417,19563
8600000US12564,12564,ZCTA5 12564,84556,11138,103920,10729,113403,9414,39083,6107
8600000US12565,12565,ZCTA5 12565,39891,10743,54286,11719,71500,19139,18000,7793
8600000US12566,12566,ZCTA5 12566,76148,6906,100798,12985,101416,10309,30509,9499
8600000US12567,12567,ZCTA5 12567,57727,13448,79261,12701,86339,14537,36435,6043
8600000US12569,12569,ZCTA5 12569,80050,7247,88555,4651,95431,14261,53694,8117
8600000US12570,12570,ZCTA5 12570,102835,10617,114596,13616,122976,19956,47460,15246
8600000US12571,12571,ZCTA5 12571,74142,7051,87365,8434,100682,11386,35743,3083
8600000US12572,12572,ZCTA5 12572,79628,10581,102406,9264,116116,12840,42203,10807
8600000US12574,12574,ZCTA5 12574,-,**,210347,179813,210486,166901,-,**
8600000US12575,12575,ZCTA5 12575,101912,50551,138125,43753,134511,39737,83750,62163
8600000US12577,12577,ZCTA5 12577,126442,28418,134727,27558,137583,27363,67969,34905
8600000US12578,12578,ZCTA5 12578,102639,23661,104875,24170,117500,11960,-,**
8600000US12580,12580,ZCTA5 12580,75750,18595,89750,16586,102583,10470,52944,13801
8600000US12581,12581,ZCTA5 12581,76750,10626,95313,28805,115197,21992,46042,6708
8600000US12582,12582,ZCTA5 12582,103771,12553,104902,22620,123468,28235,46944,43858
8600000US12583,12583,ZCTA5 12583,74375,21782,94919,10958,107308,17394,36324,12592
